Name,Team,Pos,Age,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_Y/A,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Rush_Att_per_game,Rush_Yds_per_game,Rush_TD_per_game,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_jersey_number,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,next_year_Rush_Yds,next_year_Rec_Yds,next_year_Points_half-ppr,next_year_PPG_half-ppr
Aaron Jones,MIN,RB,23.0,12.0,4.0,81.0,448.0,4.0,5.530864197530864,9.0,22.0,0.0,2.4444444444444446,0.0,0.0,2017,0.75,0.3333333333333333,0.0,0.0,90.0,6.75,37.333333333333336,0.3333333333333333,0.75,1.8333333333333333,0.0,0.0,0.0,7.5,75.50000000000001,6.291666666666668,Aaron Jones,2017.0,5.5,3.84882378890413,18.99261728983091,2.8063973290598287,15.5,86.5,5.301976661109788,0.75,33.0,,,,,728.0,206.0,158.4,13.2
Aaron Jones,MIN,RB,24.0,12.0,8.0,133.0,728.0,8.0,5.473684210526316,26.0,206.0,1.0,7.923076923076923,1.0,1.0,2018,0.75,0.6666666666666666,0.0,0.0,159.0,11.083333333333334,60.66666666666666,0.6666666666666666,2.1666666666666665,17.166666666666668,0.0833333333333333,0.0833333333333333,0.0833333333333333,13.25,158.4,13.2,Aaron Jones,2018.0,9.0,3.6778828556219096,15.16926600517932,2.668296644096644,26.77777777777778,147.22222222222223,5.478430181216559,1.7777777777777777,33.0,125.77473443357566,18.336376677535466,0.7043979584990248,0.4423996482820012,1084.0,474.0,290.3,18.14375
Aaron Jones,MIN,RB,25.0,16.0,16.0,236.0,1084.0,16.0,4.593220338983051,49.0,474.0,3.0,9.673469387755102,3.0,2.0,2019,1.0,1.0,0.0,0.0,285.0,14.75,67.75,1.0,3.0625,29.625,0.1875,0.1875,0.125,17.8125,290.3,18.14375,Aaron Jones,2019.0,8.3125,5.027323868143891,20.6546689827855,2.756946371761639,29.0,133.625,4.380244879132651,2.0,33.0,120.66609466028105,10.583905339718951,0.2189704654769067,0.3873610319330428,1104.0,355.0,235.4,16.814285714285713
Aaron Jones,MIN,RB,26.0,14.0,14.0,201.0,1104.0,9.0,5.492537313432836,47.0,355.0,2.0,7.553191489361702,2.0,0.0,2020,0.875,1.0,1.0,0.0,248.0,14.357142857142858,78.85714285714286,0.6428571428571429,3.357142857142857,25.357142857142858,0.1428571428571428,0.1428571428571428,0.0,17.714285714285715,235.4,16.814285714285713,Aaron Jones,2020.0,8.866666666666667,4.084914573690042,19.35912034507293,2.724827604256482,26.8,147.2,5.335386554475667,1.2,33.0,128.82872792053556,17.037938746131104,0.5827627287418217,0.3970221918317893,799.0,391.0,203.0,13.533333333333331
Aaron Jones,MIN,RB,27.0,15.0,15.0,171.0,799.0,4.0,4.6725146198830405,52.0,391.0,6.0,7.519230769230769,2.0,1.0,2021,0.8823529411764706,1.0,0.0,0.0,223.0,11.4,53.266666666666666,0.2666666666666666,3.466666666666667,26.066666666666663,0.4,0.1333333333333333,0.0666666666666666,14.866666666666667,203.0,13.533333333333331,Aaron Jones,2021.0,7.272727272727272,4.079514778909868,14.666473877000191,2.689006766465857,28.272727272727277,130.36363636363637,4.54039233899915,0.6363636363636364,33.0,122.6446897738308,7.355310226169198,0.2376292643407353,0.3959222923619208,1121.0,395.0,217.1,12.770588235294118
Aaron Jones,MIN,RB,28.0,17.0,17.0,213.0,1121.0,2.0,5.262910798122066,59.0,395.0,5.0,6.694915254237288,5.0,3.0,2022,1.0,1.0,0.0,0.0,272.0,12.529411764705882,65.94117647058823,0.1176470588235294,3.4705882352941178,23.23529411764705,0.2941176470588235,0.2941176470588235,0.1764705882352941,16.0,217.1,12.770588235294118,Aaron Jones,2022.0,8.75,3.992051183638503,7.459672565306367,2.852543239028272,31.666666666666668,172.91666666666666,5.485285032214403,0.3333333333333333,33.0,147.21979207255322,16.530207927446774,0.5472476563882602,0.4235474637151466,656.0,233.0,119.9,10.9
Aaron Jones,MIN,RB,29.0,11.0,11.0,142.0,656.0,2.0,4.619718309859155,30.0,233.0,1.0,7.766666666666667,2.0,1.0,2023,0.6470588235294118,1.0,0.0,0.0,172.0,12.909090909090908,59.63636363636363,0.1818181818181818,2.727272727272727,21.181818181818183,0.0909090909090909,0.1818181818181818,0.0909090909090909,15.636363636363637,119.9,10.9,Aaron Jones,2023.0,12.142857142857142,3.918485758718468,24.606490089387474,2.624150703876276,35.857142857142854,167.85714285714286,4.590288953166216,0.4285714285714285,33.0,152.7205699612235,5.422287181633644,0.0508279365070349,0.3605695269560815,1138.0,408.0,216.1,12.711764705882354
Aaron Jones,MIN,RB,30.0,17.0,17.0,255.0,1138.0,5.0,4.462745098039216,51.0,408.0,2.0,8.0,5.0,3.0,2024,1.0,1.0,0.0,0.0,306.0,15.0,66.94117647058823,0.2941176470588235,3.0,24.0,0.1176470588235294,0.2941176470588235,0.1764705882352941,18.0,216.1,12.711764705882354,Aaron Jones,2024.0,9.666666666666666,4.026050901562842,16.604359062563397,2.7858672657007024,32.6,146.2,4.57616907000808,0.6666666666666666,33.0,136.3194444722102,5.3472221944564655,0.2496911205586089,0.4164835816738731,,,,
Alec Ingold,MIA,RB,23.0,16.0,4.0,10.0,17.0,0.0,1.7,6.0,44.0,1.0,7.333333333333333,0.0,0.0,2019,1.0,0.25,0.0,0.0,16.0,0.625,1.0625,0.0,0.375,2.75,0.0625,0.0,0.0,1.0,15.1,0.94375,,,,,,,,,,,,,,,,4.0,110.0,23.4,1.4625
Alec Ingold,MIA,RB,24.0,16.0,4.0,3.0,4.0,0.0,1.3333333333333333,12.0,110.0,1.0,9.166666666666666,0.0,0.0,2020,1.0,0.25,0.0,0.0,15.0,0.1875,0.25,0.0,0.75,6.875,0.0625,0.0,0.0,0.9375,23.4,1.4625,,,,,,,,,,,,,,,,1.0,85.0,19.6,2.177777777777778
